run,without_intra,with_intra
348,6361.389037222999,10091.650320836
349,6378.659365916999,10122.646357118001
350,6393.199852760999,10151.254789451
351,6410.797981100999,10180.327092235
352,6428.334504221999,10210.492959079
353,6446.449653463999,10240.125141834
354,6463.674397129,10270.649850463
355,6482.545178677,10300.496494656
356,6499.6442177769995,10331.197972205999
357,6517.631949979999,10360.836239664999
358,6535.038360645999,10390.562173007
359,6552.710792522999,10420.036901821
360,6570.6294625479995,10450.607946017
361,6587.943093981,10479.689051982
362,6605.5126147,10509.309990680002
363,6623.53583444,10536.383064784002
364,6641.201685563,10566.124186743002
365,6658.64404949,10596.411881750002
366,6676.736101281,10625.018884713001
367,6694.997636123,10652.369053427
368,6711.467441045,10682.405710455001
369,6729.3737458939995,10710.977291415002
370,6747.157677728999,10739.929962668
371,6765.255437895999,10767.811730147001
372,6783.117704652999,10796.221635967002
373,6797.803635208999,10826.158039310001
374,6815.426496179999,10855.636409636001
375,6833.269898328999,10886.086365922001
376,6851.162957737999,10916.626898731001
377,6867.779841937999,10947.042718948001
378,6885.944501039999,10973.425275718002
379,6903.004426459998,11004.856948946002
380,6921.188280226998,11032.284257471003
381,6936.185956173998,11061.313377674003
382,6949.226258523999,11090.617049235003
383,6964.812480403999,11120.338499337004
384,6982.628077920999,11149.302967221003
385,6996.827391302999,11179.309764729003
386,7014.10021031,11210.630408497
387,7032.094584691,11241.160030003999
388,7049.970321322,11270.232404474
389,7068.65111429,11299.692157399
390,7087.248775969,11328.271753303
391,7105.614242116,11357.523831412002
392,7122.744275286001,11387.047145599001
393,7140.268591836,11416.103865975001
394,7158.896757046,11444.119989217
395,7177.9308383669995,11473.227394623002
396,7194.016652797999,11502.322314229
397,7212.6245899079995,11532.293179633001
398,7228.289128582,11561.751962485001
399,7246.808101635999,11592.015806640002
400,7265.5541514629995,11620.993678635003
401,7283.221330930999,11646.747127441002
402,7301.7305915239995,11676.671057855001
403,7319.878307995999,11706.348371205
404,7336.1373289269995,11735.491446652
405,7354.148064421,11765.500624173
406,7372.529478908999,11794.283286129
407,7390.009191138,11823.686825799
408,7405.8862039959995,11853.880672827001
409,7422.28474225,11884.224568933001
410,7439.6347123529995,11912.923687468001
411,7454.5649291009995,11942.702599771
412,7472.255276645,11972.186593043001
413,7490.318105593,12001.636690091002
414,7507.669511061,12031.644650699001
415,7525.888027856,12061.083399816001
416,7543.934228855,12091.146492275002
417,7561.619624651999,12121.067280326002
418,7578.937366069,12151.494891179
419,7596.376635187999,12181.670228988
420,7614.308661931,12210.437932736
421,7631.7889430919995,12239.315923338001
422,7650.438553681999,12269.542118483001
423,7668.405276290999,12298.670553614002
424,7682.395755777999,12327.836527069001
425,7700.314817090999,12357.313307767
426,7718.164380493999,12388.305724414
427,7736.219917727999,12418.480133878
428,7754.010838587999,12448.294641024
429,7771.912355477999,12477.659330216
430,7789.545595499999,12507.921543573
431,7807.648087698999,12538.215914926
432,7824.720063111999,12567.159001753
433,7843.415989070999,12597.943339852
434,7858.217560552001,12627.108191806
435,7876.612141233,12656.294766608002
436,7894.431936287,12686.864309498002
437,7911.908352984,12716.389041214
438,7929.887830949,12743.44905991
439,7947.457221172,12773.991507249
440,7965.804998725,12803.395832807
441,7983.328189772,12834.130392545001
442,8001.9969037559995,12864.087652990002
443,8019.569900113,12892.713717599001
444,8034.214184371,12921.165880633002
445,8053.171100208,12950.338443958002
446,8071.39075239,12980.498836137001
447,8086.4212601439995,13010.736969024001
448,8104.7708762229995,13040.155296775001
449,8119.728272853999,13069.242898781002
450,8134.498403751,13098.948409806
451,8149.338930188001,13130.509553762
452,8165.231609531001,13161.090851916
453,8180.293460351,13190.796745506
